probeset,hgnc
1007_s_at,DDR1
1053_at,RFC2
117_at,HSPA7///HSPA6
121_at,PAX8
1255_g_at,GUCA1A
1294_at,MIR5193///UBA7
1316_at,THRA
1320_at,PTPN21
1431_at,CYP2E1
1438_at,EPHB3
1487_at,ESRRAP1///ESRRA
1494_f_at,CYP2A6///CYP2A7
1598_g_at,GAS6
160020_at,MMP14
1729_at,TRADD
1773_at,CHURC1-FNTB///FNTB
177_at,PLD1
1861_at,BAD
200000_s_at,PRPF8
200001_at,CAPNS1
200002_at,RPL35
200003_s_at,RPL28
200004_at,EIF4G2
200005_at,EIF3D
200006_at,PARK7
200007_at,SRP14
200008_s_at,GDI2
200009_at,GDI2
200010_at,RPL11
200011_s_at,ARF3
200012_x_at,RPL21P28///RPL21P1///RPL21///RPL21P119///RPL21P11///RPL21P75
200013_at,RPL24P4///RPL24
200014_s_at,HNRNPC
200015_s_at,SEPT2
200016_x_at,HNRNPA1P7///HNRNPA1P4///HNRNPA1
200017_at,RPS27A
200018_at,RPS13
200019_s_at,FAUP1///FAU
200020_at,TARDBP
200021_at,CFL1
200022_at,RPL18
200023_s_at,EIF3FP3///EIF3F
200024_at,RPS5
200025_s_at,RPL27
200027_at,NARS
200028_s_at,STARD7
200029_at,RPL19///FAM153C
200030_s_at,SLC25A3
200031_s_at,RPS11
200032_s_at,RPL9P9///RPL9P8///RPL9P25///TIPIN///RPL9P7///RPL9
200033_at,MIR3064///DDX5
200034_s_at,RPL6///RPL6P27
200035_at,CTDNEP1
200036_s_at,RPL10AP6///RPL10A
200037_s_at,CBX3
200038_s_at,SNORD58A///RPL17-C18orf32///RPL17
200039_s_at,PSMB2
200040_at,KHDRBS1
200041_s_at,ATP6V1G2-DDX39B///DDX39B
200042_at,C22orf28
200043_at,ERH
200044_at,SRSF9
200045_at,ABCF1
200046_at,DAD1
200047_s_at,YY1
200048_s_at,JTB
200049_at,KAT7
200050_at,ZNF146
200051_at,SART1
200052_s_at,ILF2
200053_at,SPAG7
200054_at,ZNF259
200055_at,TAF10
200056_s_at,C1DP1///C1D
200057_s_at,NONO
200058_s_at,SNRNP200
200059_s_at,RHOA
200060_s_at,RNPS1P1///RNPS1
200061_s_at,RPS24
200062_s_at,RPL30
200063_s_at,NPM1P6///NPM1///CLEC2D
200064_at,HSP90AB1
200065_s_at,ARF1
200066_at,IK
200067_x_at,SNX3
200068_s_at,CANX
200069_at,SART3
200070_at,CNPPD1
200071_at,SMNDC1
200072_s_at,HNRNPM
200073_s_at,HNRNPD
200074_s_at,RPL14P1///RPL14
200075_s_at,GUK1
200076_s_at,KXD1
200077_s_at,OAZ1
200078_s_at,ATP6V0B
200079_s_at,KARS
200080_s_at,H3F3AP4///H3F3AP6///H3F3A
200081_s_at,RPS6
200082_s_at,RPS7P1///RPS7P11///RPS7
200083_at,USP22
200084_at,C11orf58
200085_s_at,TCEB2
200086_s_at,COX4I1
200087_s_at,TMED2
200088_x_at,RPL12P4///NBEAL1///RPL12
200089_s_at,RPL4P2///RPL4P5///RPL4P4///RPL4
200090_at,FNTA
200091_s_at,RPS25
200092_s_at,RPL37
200093_s_at,HINT1
200094_s_at,EEF2
200095_x_at,RPS10
200096_s_at,ATP6V0E1
200097_s_at,HNRNPK
200098_s_at,ANAPC5
200099_s_at,RPS3AP5///RPS3AP26///RPS3AP6///RPS3A
200593_s_at,HNRNPU
200595_s_at,EIF3A
200599_s_at,HSP90B1
200600_at,MSN
200601_at,ACTN4
200602_at,APP
200603_at,PRKAR1A
200606_at,DSP
200608_s_at,RAD21
200609_s_at,WDR1
200610_s_at,SNORA75///NCL
200612_s_at,AP2B1
200613_at,AP2M1
200614_at,CLTC
200618_at,LASP1
200619_at,SF3B2
200620_at,TMEM59
200621_at,CSRP1
200623_s_at,CALM3
200626_s_at,MATR3
200627_at,PTGES3
200629_at,WARS
200631_s_at,SET
200632_s_at,NDRG1
200633_at,UBB
